emergency_type,description,priority
Accident,A major collision is blocking the road in the nearby village less than one hour ago. Several people need urgent assistance.,High
Other,A local emergency situation is developing in a crowded street about ten minutes ago. Residents need support.,Medium
Fire,A severe fire is out of control near the bus stand around twenty minutes ago. Multiple buildings and people are in immediate danger.,Critical
Accident,A major collision is blocking the road near the bus stand a few minutes ago. Several people need urgent assistance.,High
Other,A serious incident is threatening residents in a crowded street less than one hour ago. Immediate response is required.,High
Storm,Strong winds and heavy rain are affecting near the hospital earlier today. Some roads are blocked.,Medium
Fire,A major fire with heavy smoke is threatening multiple buildings near the railway station during the night. Several people may be injured.,Critical
Medical,A person is experiencing a life-threatening emergency near the hospital earlier today. Immediate medical rescue is needed.,Critical
Storm,A severe storm has destroyed buildings and blocked roads in a residential building earlier today. Multiple people need rescue.,Critical
Earthquake,A powerful earthquake has caused widespread destruction near the bridge less than one hour ago. Many people may be trapped.,Critical
Flood,Rapid flooding has trapped people inside homes near the bus stand during the evening. Emergency rescue is urgently required.,Critical
Crime,A dispute has escalated near the main road a few minutes ago. Authorities are requested to control the situation.,Medium
Medical,A person is experiencing a life-threatening emergency in the residential area about ten minutes ago. Immediate medical rescue is needed.,Critical
Other,A major safety problem is affecting near the office area a few minutes ago. People are being moved to a safer area.,High
Medical,A serious medical condition was reported in a crowded street around twenty minutes ago. Emergency assistance is required.,High
Accident,A moderate traffic accident occurred near the railway station during the afternoon. Medical assistance is requested.,Medium
Other,An unexpected incident is affecting in the nearby village during the evening. People are requesting emergency support.,Medium
Crime,A person was attacked near the highway around twenty minutes ago. The suspect may still be nearby.,High
Accident,A severe multi-vehicle accident occurred in a crowded street a few minutes ago. Several people are critically injured.,Critical
Storm,Heavy rainfall and strong winds are disrupting transportation near the market about ten minutes ago.,Medium
Fire,A moderate fire was reported near the school around twenty minutes ago. The fire is spreading slowly.,Medium
Medical,Someone has suddenly become ill in a crowded street about ten minutes ago. A medical team is requested.,Medium
Landslide,A catastrophic landslide has isolated an entire area near the bridge during the evening. Rescue teams are urgently needed.,Critical
Storm,Heavy rain and moderate winds were reported near the school about ten minutes ago.,Low
Storm,Strong winds and heavy rain are affecting near the office area less than one hour ago. Some roads are blocked.,Medium
Storm,Strong winds are affecting near the highway during the morning. No major damage has been reported.,Low
Medical,A resident has suffered a moderate medical problem near the shopping complex during the evening.,Medium
Fire,A building is fully engulfed in flames near the market less than one hour ago. People are trapped and require immediate rescue.,Critical
Accident,A vehicle crashed into another vehicle near the bridge earlier today. Several people have minor injuries.,Medium
Crime,A person reported being threatened near the hospital around twenty minutes ago. Authorities are needed.,Medium
Other,A major incident has placed multiple people in immediate danger near the hospital about ten minutes ago.,Critical
Fire,A serious building fire was reported near the shopping complex earlier today. Thick smoke is affecting the surrounding area.,High
Medical,A serious medical condition was reported near the hospital during the morning. Emergency assistance is required.,High
Earthquake,Minor ground shaking occurred near the highway a few minutes ago. No major problems are visible.,Low
Landslide,A catastrophic landslide has isolated an entire area near the shopping complex during the afternoon. Rescue teams are urgently needed.,Critical
Landslide,A small landslide has affected the edge of the road near the market during the afternoon.,Low
Other,An incident is disrupting normal activity near the bus stand a few minutes ago. Assistance is requested.,Medium
Medical,Someone is in a life-threatening medical condition in a residential building during the afternoon. Urgent medical intervention is needed.,Critical
Landslide,A landslide has blocked part of the road near the main road earlier today. Assistance is required.,Medium
Earthquake,Several buildings were damaged by an earthquake near the main road during the morning. Residents are evacuating.,High
Storm,Extreme winds and heavy rain are threatening residents near the office area during the evening. Immediate evacuation is required.,Critical
Medical,A person is unconscious and not responding near the main road during the morning. Immediate emergency medical assistance is required.,Critical
Landslide,Several rocks and soil have fallen near near the hospital a few minutes ago. Residents are requesting assistance.,Medium
Landslide,A massive landslide has buried buildings in a residential building around twenty minutes ago. People are trapped under debris.,Critical
Landslide,Moderate soil movement was reported in the city center earlier today. Traffic is being disrupted.,Medium
Flood,Water has entered many buildings in a residential building earlier today. Roads are no longer safe for vehicles.,High
Medical,A person requires basic first aid near the highway a few minutes ago. The situation appears stable.,Low
Fire,A building is fully engulfed in flames in a residential building around twenty minutes ago. People are trapped and require immediate rescue.,Critical
Crime,A possible theft was reported near the railway station earlier today. The situation appears under control.,Low
Flood,Flood water has entered some houses near the office area less than one hour ago. People are moving to safer areas.,Medium
Storm,Moderate storm activity is affecting near the bus stand a few minutes ago. No injuries are reported.,Low
Accident,A small vehicle collision happened near the railway station during the afternoon. Traffic is moving slowly.,Low
Other,A local safety concern was reported near the bridge earlier today. No injuries are known.,Low
Medical,Someone reported mild illness near the bridge around twenty minutes ago. The person is conscious and stable.,Low
Landslide,A huge landslide has caused widespread destruction near the market during the night. People are trapped and require immediate rescue.,Critical
Fire,An electrical fire is burning near the railway station a few minutes ago. Nearby residents are requesting help.,Medium
Storm,Severe weather has caused power failures and property damage near the shopping complex during the night.,High
Earthquake,A major earthquake has collapsed buildings near the bridge during the evening. People are trapped under debris.,Critical
Earthquake,A major earthquake has caused building damage near the shopping complex earlier today. Some people may be trapped.,High
Accident,Several vehicles were involved in a severe collision near the railway station about ten minutes ago. Multiple victims require immediate rescue.,Critical
Landslide,A serious landslide has affected several structures near the highway during the evening. Residents are evacuating.,High
Other,A local emergency situation is developing near the bus stand about ten minutes ago. Residents need support.,Medium
Fire,A fire has started in the nearby village earlier today. Flames are visible and nearby people are moving away.,Medium
Accident,A severe multi-vehicle accident occurred in the nearby village during the night. Several people are critically injured.,Critical
Crime,A serious armed crime has been reported near the main road around twenty minutes ago. The suspect may still be dangerous.,Critical
Earthquake,Multiple structures have collapsed after a major earthquake in the residential area less than one hour ago. Immediate rescue is required.,Critical
Landslide,A small landslide has affected the edge of the road in a crowded street during the afternoon.,Low
Accident,A motorcycle slipped and fell near the hospital less than one hour ago. The rider has minor injuries.,Low
Other,A major emergency has been reported near the school around twenty minutes ago. Several people may be affected.,High
Fire,A shop fire was reported in the city center earlier today. Smoke is increasing and assistance is needed.,Medium
Earthquake,Strong shaking was reported near the market during the morning. Some buildings have visible damage.,Medium
Fire,A massive fire is spreading across several buildings near the bridge during the afternoon. Many people are trapped inside.,Critical
Earthquake,A major earthquake has collapsed buildings in the city center a few minutes ago. People are trapped under debris.,Critical
Medical,Someone has suddenly become ill near the shopping complex during the night. A medical team is requested.,Medium
Storm,Strong winds have damaged buildings and trees in a crowded street about ten minutes ago. People need assistance.,High
Crime,A property break-in occurred near the hospital during the night. Police investigation is required.,Medium
Other,A life-threatening emergency is affecting in a residential building less than one hour ago. Immediate rescue and emergency response are required.,Critical
Fire,A rapidly spreading fire has trapped residents near the school during the afternoon. Immediate evacuation and rescue are required.,Critical
Flood,Rapid flooding has trapped people inside homes in a crowded street during the night. Emergency rescue is urgently required.,Critical
Landslide,A small landslide has affected the edge of the road near the bus stand during the evening.,Low
Other,A minor emergency situation was reported in the nearby village about ten minutes ago. The situation is currently stable.,Low
Storm,A strong storm has made roads dangerous near the hospital during the afternoon. Emergency response is required.,High
Fire,Heavy flames are coming from a building near the shopping complex during the night. Nearby residents need immediate assistance.,High
Crime,A serious armed crime has been reported in a crowded street during the night. The suspect may still be dangerous.,Critical
Earthquake,Heavy shaking damaged multiple structures near the highway about ten minutes ago. People need emergency assistance.,High
Medical,A severe medical emergency has occurred in a crowded street earlier today. The victim is in critical condition.,Critical
Other,A major safety problem is affecting near the highway during the morning. People are being moved to a safer area.,High
Landslide,A large amount of debris has blocked in the nearby village less than one hour ago. People may be trapped nearby.,High
Fire,A rapidly spreading fire has trapped residents in the residential area earlier today. Immediate evacuation and rescue are required.,Critical
Fire,A fire has started near the market during the morning. Flames are visible and nearby people are moving away.,Medium
Storm,Severe weather has caused power failures and property damage near the market earlier today.,High
Storm,A severe storm is causing major damage near the highway around twenty minutes ago. Several roads are blocked.,High
Fire,A building is fully engulfed in flames near the market earlier today. People are trapped and require immediate rescue.,Critical
Landslide,Loose soil has moved onto the roadside near the bus stand about ten minutes ago.,Low
Medical,A resident is experiencing mild symptoms near the railway station during the evening. Assistance is requested.,Low
Accident,A motorcycle and car collided in a crowded street about ten minutes ago. One person appears injured.,Medium
Landslide,Loose soil has moved onto the roadside near the bridge earlier today.,Low
Accident,A vehicle collision has blocked part of the road in the city center around twenty minutes ago. Injured people need assistance.,Medium
Earthquake,A severe earthquake has caused casualties and collapsed buildings near the office area around twenty minutes ago. Emergency rescue is critical.,Critical
Crime,A violent incident has occurred in the city center during the morning. Police assistance is urgently required.,High
Crime,Suspicious behavior was noticed near the office area during the evening. Residents are requesting police assistance.,Low
Other,An incident is disrupting normal activity in a crowded street during the afternoon. Assistance is requested.,Medium
Fire,A rapidly spreading fire has trapped residents near the market during the afternoon. Immediate evacuation and rescue are required.,Critical
Crime,A suspicious activity was noticed near the bridge during the evening. No immediate threat has been reported.,Low
Accident,A major collision is blocking the road near the bus stand during the night. Several people need urgent assistance.,High
Medical,A serious medical condition was reported near the main road during the morning. Emergency assistance is required.,High
Accident,A vehicle has overturned after an accident in the residential area during the evening. People are trapped inside.,High
Earthquake,Strong shaking was reported near the railway station during the afternoon. Some buildings have visible damage.,Medium
Storm,A moderate storm has damaged property in the nearby village during the evening. Emergency assistance is requested.,Medium
Flood,Flood water has risen above dangerous levels near the shopping complex about ten minutes ago. Several families are stranded.,Critical
Accident,A motorcycle and car collided near the railway station during the night. One person appears injured.,Medium
Flood,Flooding has cut off access to near the hospital during the afternoon. Several residents need emergency assistance.,High
Other,An incident is disrupting normal activity near the office area a few minutes ago. Assistance is requested.,Medium
Fire,A rapidly spreading fire has trapped residents in a crowded street a few minutes ago. Immediate evacuation and rescue are required.,Critical
Flood,Minor waterlogging was reported near the bridge during the morning. Residents are able to move around.,Low
Flood,Severe flooding has submerged multiple buildings in a crowded street less than one hour ago. People are trapped and need rescue.,Critical
Crime,A dispute has escalated in the residential area during the afternoon. Authorities are requested to control the situation.,Medium
Storm,Extreme storm conditions have put many residents in immediate danger near the highway around twenty minutes ago.,Critical
Landslide,Minor rockfall was reported near the hospital around twenty minutes ago. No injuries are known.,Low
Earthquake,A weak earthquake was reported near the railway station during the morning. The situation appears stable.,Low
Landslide,Severe soil movement has buried multiple structures near the railway station during the night. Several people may be trapped.,Critical
Accident,A catastrophic road accident occurred near the highway less than one hour ago. People are trapped and critically injured.,Critical
Earthquake,Strong shaking was reported near the office area earlier today. Some buildings have visible damage.,Medium
Accident,A major crash has left multiple people trapped near the market around twenty minutes ago. Immediate rescue is required.,Critical
Other,A life-threatening emergency is affecting near the hospital during the afternoon. Immediate rescue and emergency response are required.,Critical
Earthquake,Moderate earthquake shaking was felt near the hospital earlier today. Some objects have fallen.,Medium
Fire,A minor fire started in in the nearby village during the night. Nearby residents are monitoring the situation.,Low
Fire,A small fire was noticed in near the bridge less than one hour ago. Smoke is visible but the situation appears contained.,Low
Crime,A possible theft was reported near the office area less than one hour ago. The situation appears under control.,Low
Earthquake,Several buildings were damaged by an earthquake near the bridge during the afternoon. Residents are evacuating.,High
Earthquake,An earthquake has damaged parts of buildings near the bus stand during the night.,Medium
Other,An incident is disrupting normal activity in the residential area around twenty minutes ago. Assistance is requested.,Medium
Other,A severe emergency is affecting the area in a crowded street around twenty minutes ago. Several people require urgent assistance.,Critical
Crime,A violent attack involving multiple people is occurring near the highway during the afternoon. People are in immediate danger.,Critical
Storm,A severe storm has destroyed buildings and blocked roads in a crowded street around twenty minutes ago. Multiple people need rescue.,Critical
Crime,A serious armed crime has been reported near the bridge earlier today. The suspect may still be dangerous.,Critical
Storm,Strong winds and heavy rain are affecting near the railway station during the morning. Some roads are blocked.,Medium
Storm,A violent storm is causing widespread destruction near the hospital during the night. People are trapped in damaged buildings.,Critical
Storm,Strong winds have damaged buildings and trees near the railway station a few minutes ago. People need assistance.,High
Storm,Heavy rainfall and strong winds are disrupting transportation near the school during the evening.,Medium
Fire,A vehicle and nearby structure are on fire near the office area during the night. Emergency assistance is urgently needed.,High
Medical,A severe medical emergency has occurred near the shopping complex around twenty minutes ago. The victim is in critical condition.,Critical
Crime,A violent confrontation is taking place near the highway about ten minutes ago. Nearby people are in danger.,High
Earthquake,Minor ground shaking occurred near the railway station earlier today. No major problems are visible.,Low
Accident,A motorcycle slipped and fell near the market earlier today. The rider has minor injuries.,Low
Fire,A small fire was noticed in near the main road about ten minutes ago. Smoke is visible but the situation appears contained.,Low
Flood,Flooding has cut off access to in a residential building a few minutes ago. Several residents need emergency assistance.,High
Landslide,Minor rockfall was reported near the bridge during the morning. No injuries are known.,Low
Fire,A large fire is spreading rapidly near the highway during the morning. Several people are trying to evacuate.,High
Accident,A motorcycle and car collided in the residential area about ten minutes ago. One person appears injured.,Medium
Storm,Strong winds and heavy rain are affecting in the nearby village during the evening. Some roads are blocked.,Medium
Flood,Water levels have increased significantly near the school earlier today. Residents are requesting assistance.,Medium
Crime,A suspicious person was seen near the school around twenty minutes ago. No violence has been reported.,Low
Fire,A small fire was noticed in near the main road earlier today. Smoke is visible but the situation appears contained.,Low
Landslide,A massive landslide has buried buildings near the hospital during the evening. People are trapped under debris.,Critical
Fire,A fire has damaged part of a building near the office area earlier today. The situation requires attention.,Medium
Storm,Extreme winds and heavy rain are threatening residents near the hospital about ten minutes ago. Immediate evacuation is required.,Critical
Fire,A building is fully engulfed in flames in the city center during the evening. People are trapped and require immediate rescue.,Critical
Fire,A moderate fire was reported in the residential area during the night. The fire is spreading slowly.,Medium
Earthquake,Moderate earthquake activity affected in the city center during the night. Roads may be partially blocked.,Medium
Fire,Heavy flames are coming from a building near the main road less than one hour ago. Nearby residents need immediate assistance.,High
Other,A local emergency situation is developing near the bus stand earlier today. Residents need support.,Medium
Earthquake,A strong earthquake has caused significant damage near the hospital about ten minutes ago. Several buildings are affected.,High
Flood,Flood water has risen above dangerous levels near the main road a few minutes ago. Several families are stranded.,Critical
Other,A major emergency has been reported in a crowded street a few minutes ago. Several people may be affected.,High
Earthquake,Several buildings were damaged by an earthquake near the hospital a few minutes ago. Residents are evacuating.,High
Other,A dangerous situation is developing near the school a few minutes ago. Emergency responders are requested.,High
Flood,Heavy rain has caused flooding in the residential area about ten minutes ago. Several roads are partially blocked.,Medium
Flood,A serious flood has affected near the highway earlier today. Residents are struggling to evacuate.,High
Medical,A person is experiencing severe breathing difficulty in the nearby village earlier today. Medical help is urgently needed.,High
Other,A minor emergency situation was reported near the school a few minutes ago. The situation is currently stable.,Low
Landslide,A major landslide has damaged the road and nearby property near the market during the night.,High
Flood,Water has entered many buildings in a crowded street about ten minutes ago. Roads are no longer safe for vehicles.,High
Crime,A serious criminal incident was reported near the bridge about ten minutes ago. Immediate police response is needed.,High
Earthquake,Minor ground shaking occurred near the highway during the evening. No major problems are visible.,Low
Landslide,A major landslide has damaged the road and nearby property in a residential building during the evening.,High
Storm,A severe storm is causing major damage near the office area during the morning. Several roads are blocked.,High
Landslide,A landslide has deposited debris on the road near the office area during the evening.,Medium
Earthquake,A small earthquake was felt near the school during the morning. Buildings appear unaffected.,Low
Other,An unexpected incident is affecting in the residential area during the morning. People are requesting emergency support.,Medium
Landslide,A major landslide has destroyed the road and buried vehicles near the main road during the night. Immediate rescue is required.,Critical
Accident,A major collision is blocking the road in a residential building during the night. Several people need urgent assistance.,High
Medical,A resident has suffered a moderate medical problem near the railway station around twenty minutes ago.,Medium
Landslide,Minor rockfall was reported in a crowded street around twenty minutes ago. No injuries are known.,Low
Storm,A powerful storm is affecting near the bridge earlier today. Residents are being advised to evacuate.,High
Earthquake,A major earthquake has caused building damage near the school around twenty minutes ago. Some people may be trapped.,High
Earthquake,A weak earthquake was reported near the highway about ten minutes ago. The situation appears stable.,Low
Accident,A vehicle has overturned after an accident near the main road during the evening. People are trapped inside.,High
Other,A serious public safety incident is affecting in the residential area during the night. Immediate assistance is needed.,High
Earthquake,Multiple structures have collapsed after a major earthquake near the market during the night. Immediate rescue is required.,Critical
Medical,A severe medical emergency has occurred near the shopping complex earlier today. The victim is in critical condition.,Critical
Accident,A moderate traffic accident occurred in the nearby village less than one hour ago. Medical assistance is requested.,Medium
Medical,Someone has suddenly become ill near the shopping complex earlier today. A medical team is requested.,Medium
Accident,Two vehicles had a minor collision near the hospital during the night. No one appears seriously injured.,Low
Flood,Water has entered many buildings in a residential building around twenty minutes ago. Roads are no longer safe for vehicles.,High
Medical,A person requires basic first aid near the bus stand earlier today. The situation appears stable.,Low
Crime,A theft has been reported near the railway station less than one hour ago. Police assistance is requested.,Medium
Landslide,Several rocks and soil have fallen near near the main road during the night. Residents are requesting assistance.,Medium
Earthquake,Multiple structures have collapsed after a major earthquake in a residential building during the night. Immediate rescue is required.,Critical
Earthquake,Severe earthquake damage has affected multiple buildings in a crowded street during the afternoon. Rescue teams are urgently needed.,Critical
Earthquake,A major earthquake has caused building damage near the school during the afternoon. Some people may be trapped.,High
Other,A major incident has placed multiple people in immediate danger near the shopping complex less than one hour ago.,Critical
Fire,A small fire was noticed in in the city center earlier today. Smoke is visible but the situation appears contained.,Low
Flood,Heavy rain has caused flooding near the main road a few minutes ago. Several roads are partially blocked.,Medium
Landslide,A large landslide has blocked the main road in the nearby village around twenty minutes ago. Several people are stranded.,High
Accident,A vehicle crashed into another vehicle near the main road earlier today. Several people have minor injuries.,Medium
Earthquake,A major earthquake has collapsed buildings near the shopping complex less than one hour ago. People are trapped under debris.,Critical
Fire,An electrical fire is burning in the city center during the evening. Nearby residents are requesting help.,Medium
Crime,A possible theft was reported near the market around twenty minutes ago. The situation appears under control.,Low
Medical,Someone reported mild illness near the highway during the afternoon. The person is conscious and stable.,Low
Medical,A severe medical emergency has occurred near the school a few minutes ago. The victim is in critical condition.,Critical
Accident,A minor traffic accident was reported near the highway a few minutes ago. Assistance may be needed.,Low
Medical,A person needs urgent medical attention near the bus stand during the afternoon but is currently conscious.,Medium
Other,A serious incident is threatening residents near the bus stand less than one hour ago. Immediate response is required.,High
Landslide,A catastrophic landslide has isolated an entire area in the residential area earlier today. Rescue teams are urgently needed.,Critical
Crime,A serious armed crime has been reported in the residential area during the evening. The suspect may still be dangerous.,Critical
Landslide,A moderate landslide has affected access to near the bus stand during the night.,Medium
Other,A small obstruction is affecting the area near the main road about ten minutes ago. Assistance may be required.,Low
Flood,Rainwater has entered a small part of the area near the highway during the night. No injuries are reported.,Low
Crime,A violent attack involving multiple people is occurring in the city center during the afternoon. People are in immediate danger.,Critical
Earthquake,A mild earthquake was felt in the city center a few minutes ago. No damage has been reported.,Low
Earthquake,An earthquake has damaged parts of buildings near the office area during the evening.,Medium
Medical,A person is unconscious but breathing near the highway during the evening. Immediate medical support is needed.,High
Accident,A serious accident involving multiple vehicles occurred near the main road during the night. Emergency support is needed.,High
Medical,A person is feeling unwell near the bridge less than one hour ago. Basic medical assistance may be required.,Low
Medical,A person is experiencing severe breathing difficulty in a crowded street a few minutes ago. Medical help is urgently needed.,High
Storm,Severe weather has caused power failures and property damage near the market about ten minutes ago.,High
